country_code,year,avg_income
TUR,2012,24617.58
TUR,2011,23666.75
TUR,2010,23291.59
TUR,2008,22467.88
TUR,2007,22590.98
TUR,2006,21839.96
TUR,2013,25748.98
TUR,2009,22722.97
TUR,2020,32482.67
TUR,2019,32625.05
USA,2000,57498.9
USA,2002,58405.48
USA,2003,59033.84
USA,2004,60127.4
USA,2005,60184.22
USA,2006,61084.89
USA,2007,62241.95
USA,2008,62088.5
USA,2009,62711.31
USA,2010,63264.81
USA,2011,63349.43
USA,2013,63587.77
USA,2014,64513.44
USA,2015,66139.51
USA,2016,66259.72
USA,2017,66933.97
USA,2018,67663.84
USA,2019,68842.31
USA,2020,72806.75
USA,2012,63890.23
USA,2001,57939.66
