date,currency_code,name,local_price,dollar_ex,dollar_price
1/1/22,EUR,Netherlands,4.4,1,4.4
1/1/22,NZD,New Zealand,7,1,7
1/1/22,NIO,Nicaragua,134,35,3.83
1/1/22,NOK,Norway,57,8,7.12
1/1/22,OMR,Oman,1.15,1,1.15
1/1/22,PKR,Pakistan,590,176,3.35
1/1/22,PEN,Peru,12.9,3,4.3
1/1/22,PHP,Philippines,142,50,2.84
1/1/22,PLN,Poland,14.08,4,3.52
1/1/22,EUR,Portugal,3.45,1,3.45
1/1/22,QAR,Qatar,13,3,4.33
1/1/22,RON,Romania,10.6,4,2.65
1/1/22,RUB,Russia,135,77,1.75
1/1/22,SAR,Saudi Arabia,15,3,5
1/1/22,SGD,Singapore,5.9,1,5.9
1/1/22,EUR,Slovakia,3.8,1,3.8
1/1/22,EUR,Slovenia,2.8,1,2.8
1/1/22,ZAR,South Africa,39.9,15,2.66
1/1/22,KRW,South Korea,4600,1205,3.82
1/1/22,EUR,Spain,4.58,1,4.58
1/1/22,LKR,Sri Lanka,840,202,4.16
1/1/22,SEK,Sweden,54,9,6
1/1/22,CHF,Switzerland,6.5,1,6.5
1/1/22,TWD,Taiwan,75,27,2.78
1/1/22,THB,Thailand,128,33,3.88
1/1/22,TRY,Turkey,24.99,13,1.92
1/1/22,UAH,Ukraine,69,28,2.46
1/1/22,AED,United Arab Emirates,17,3,5.67
1/1/22,USD,United States,5.04,1,5.04
1/1/22,UYU,Uruguay,239,44,5.43
1/1/22,VES,Venezuela,23,4,5.75
1/1/22,VND,Vietnam,69000,22650,3.05
7/1/22,ARS,Argentina,590,129,4.57
7/1/22,AUD,Australia,6.7,1,6.7
7/1/22,EUR,Austria,4.35,1,4.35
7/1/22,AZN,Azerbaijan,4.7,1,4.7
7/1/22,BHD,Bahrain,1.6,1,1.6
7/1/22,EUR,Belgium,4.6,1,4.6
7/1/22,BRL,Brazil,22.9,5,4.58
7/1/22,GBP,Britain,3.69,1,3.69
7/1/22,CAD,Canada,6.77,1,6.77
7/1/22,CLP,Chile,3400,928,3.66
7/1/22,CNY,China,24,6,4
7/1/22,COP,Colombia,14950,4295,3.48
7/1/22,CRC,Costa Rica,2650,678,3.91
7/1/22,HRK,Croatia,27,7,3.86
7/1/22,CZK,Czech Republic,95,23,4.13
7/1/22,EGP,Egypt,46,18,2.56
7/1/22,EUR,Estonia,3.4,1,3.4
7/1/22,EUR,Euro area,4.65,1,4.65
7/1/22,EUR,Finland,5.25,1,5.25
7/1/22,EUR,France,4.7,1,4.7
7/1/22,EUR,Germany,4.58,1,4.58
7/1/22,EUR,Greece,4,1,4
7/1/22,GTQ,Guatemala,26,7,3.71
7/1/22,HNL,Honduras,89,24,3.71
7/1/22,HKD,Hong Kong,21,7,3
7/1/22,HUF,Hungary,1030,389,2.65
7/1/22,INR,India,191,79,2.42
7/1/22,IDR,Indonesia,35000,14977,2.34
7/1/22,EUR,Ireland,5,1,5
7/1/22,ILS,Israel,17,3,5.67
7/1/22,EUR,Italy,5.1,1,5.1
7/1/22,JPY,Japan,390,137,2.85
7/1/22,JOD,Jordan,2.3,1,2.3
7/1/22,KWD,Kuwait,1.3,1,1.3
7/1/22,EUR,Latvia,3,1,3
7/1/22,LBP,Lebanon,130000,25600,5.08
7/1/22,EUR,Lithuania,3.05,1,3.05
7/1/22,MYR,Malaysia,10.9,4,2.72
7/1/22,MXN,Mexico,70,20,3.5
7/1/22,MDL,Moldova,60,19,3.16
7/1/22,EUR,Netherlands,4.5,1,4.5
7/1/22,NZD,New Zealand,7.1,1,7.1
7/1/22,NIO,Nicaragua,139,35,3.97
7/1/22,NOK,Norway,62,9,6.89
7/1/22,OMR,Oman,1.42,1,1.42
7/1/22,PKR,Pakistan,700,221,3.17
7/1/22,PEN,Peru,13.9,3,4.63
7/1/22,PHP,Philippines,155,56,2.77
7/1/22,PLN,Poland,16.68,4,4.17
7/1/22,EUR,Portugal,4,1,4
7/1/22,QAR,Qatar,13,3,4.33
7/1/22,RON,Romania,11,4,2.75
7/1/22,SAR,Saudi Arabia,17,3,5.67
7/1/22,SGD,Singapore,5.9,1,5.9
7/1/22,EUR,Slovakia,3.9,1,3.9
7/1/22,EUR,Slovenia,3.2,1,3.2
7/1/22,ZAR,South Africa,39.9,17,2.35
7/1/22,KRW,South Korea,4600,1313,3.5
7/1/22,EUR,Spain,4.58,1,4.58
7/1/22,LKR,Sri Lanka,1340,360,3.72
7/1/22,SEK,Sweden,57,10,5.7
7/1/22,CHF,Switzerland,6.5,1,6.5
7/1/22,TWD,Taiwan,75,29,2.59
7/1/22,THB,Thailand,128,36,3.56
7/1/22,TRY,Turkey,47,17,2.76
7/1/22,AED,United Arab Emirates,18,3,6
7/1/22,USD,United States,5.15,1,5.15
7/1/22,UYU,Uruguay,255,41,6.22
7/1/22,VES,Venezuela,10,5,2
7/1/22,VND,Vietnam,69000,23417,2.95
